Date,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,PR,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY
07-1997,124.99,129.54,128.45,130.26,87.8,162.28,93.37,94.08,102.56,114.85,123.57,119.3,83.27,137.39,142.32,125.03,128.7,132.13,131.3,139.45,109.26,103.47,102.12,141.68,128.84,126.91,126.74,161.56,128.57,130.74,142.61,102.81,104.58,140.11,118.86,102.1,131.3,124.98,165.8,107.75,91.53,119.3,123.61,141.49,131.66,117.87,180.51,110.18,119.3,102,129.44,142.42,130.36,151.89
08-1997,125.01,130.15,128.51,130.68,88.16,162.95,93.65,91.97,103.57,115.1,124.17,119.6,83.25,137.65,142.93,125.31,128.76,132.95,131.85,139.74,109.68,103.66,101.77,142.07,129.65,127.36,126.63,161.74,128.71,132.28,142.75,103.06,104.79,139.27,119.41,102.3,131.67,125.19,166.54,107.9,91.27,119.6,123.93,141.72,131.6,118.04,180.56,110.3,119.6,102.71,130.37,143.22,129.36,152.05
09-1997,125.12,129.92,128.75,130.86,88.37,163.11,93.57,92.87,102.57,115.38,124.5,119.8,82.96,137.79,142.61,125.17,129.09,133.02,131.74,140.02,110.07,103.88,103.09,142.46,129.35,127.54,126.7,161.84,129.24,131.48,143.19,103.43,104.85,139.24,119.09,102.06,131.5,125.4,166.35,107.9,91.85,119.8,124.43,141.2,131.71,118.24,180.37,110.63,119.8,102.61,130.2,142.89,129.55,151.43
10-1997,125.22,129.7,128.99,131.05,88.58,163.28,93.49,93.77,101.58,115.67,124.82,119.9,82.66,137.93,142.28,125.03,129.41,133.1,131.62,140.31,110.47,104.11,104.42,142.86,129.04,127.72,126.78,161.93,129.77,130.68,143.64,103.8,104.92,139.2,118.77,101.82,131.33,125.62,166.15,107.89,92.44,119.9,124.94,140.68,131.83,118.44,180.18,110.95,119.9,102.5,130.02,142.56,129.74,150.82
11-1997,125.33,129.47,129.24,131.23,88.8,163.44,93.41,94.67,100.58,115.96,125.15,120,82.37,138.08,141.95,124.88,129.74,133.18,131.5,140.59,110.86,104.33,105.74,143.25,128.74,127.89,126.85,162.03,130.3,129.87,144.08,104.17,104.98,139.16,118.44,101.58,131.17,125.84,165.96,107.89,93.02,120,125.44,140.16,131.94,118.63,180,111.28,120,102.39,129.85,142.23,129.93,150.2
12-1997,125.19,129.96,129.34,131.53,89.44,164.26,93.26,95.43,101.54,116.61,125.69,120.4,82.8,138.56,142.01,124.97,129.77,134.13,131.71,141.24,111.13,104.55,105.3,143.76,129.22,128.33,127.55,162.45,130.38,129.6,145.21,104.42,105.26,139.06,117.6,101.41,131.7,126,165.62,107.71,92.7,120.4,125.73,141.92,132.48,119.24,180.69,111.12,120.4,102.97,130.75,142.41,129.69,150.78
01-1998,125.06,130.44,129.44,131.83,90.09,165.09,93.11,96.19,102.49,117.27,126.22,120.7,83.23,139.04,142.08,125.06,129.79,135.08,131.91,141.89,111.4,104.78,104.86,144.28,129.71,128.76,128.25,162.88,130.45,129.33,146.33,104.68,105.53,138.96,116.77,101.24,132.23,126.17,165.28,107.54,92.39,120.7,126.03,143.68,133.02,119.85,181.38,110.97,120.7,103.54,131.66,142.58,129.46,151.36
02-1998,124.92,130.93,129.54,132.13,90.73,165.91,92.96,96.95,103.45,117.92,126.76,121.1,83.67,139.52,142.14,125.15,129.82,136.02,132.12,142.54,111.67,105,104.42,144.79,130.2,129.2,128.94,163.3,130.53,129.06,147.45,104.93,105.81,138.86,115.93,101.07,132.76,126.34,164.95,107.37,92.08,121.1,126.32,145.44,133.56,120.46,182.08,110.81,121.1,104.12,132.56,142.75,129.22,151.94
03-1998,126.49,131.68,129.52,133.3,92.03,167.42,94.15,98.08,103.36,118.33,127.63,122.1,84.41,140.64,143.04,125.83,130.74,136.36,133.35,143.33,113.49,105.34,105.72,146.32,131.55,130.03,129.78,163.81,131.3,130.21,147.64,106.35,106.72,139.75,117.16,102.43,133.53,127.56,167.05,108.37,93.34,122.1,127.19,145.52,134.51,121.19,183.86,111.74,122.1,104.52,134.27,144.06,131.44,152.85
04-1998,128.06,132.44,129.5,134.47,93.34,168.92,95.34,99.21,103.28,118.73,128.51,123.1,85.15,141.76,143.94,126.52,131.67,136.7,134.57,144.12,115.32,105.69,107.02,147.85,132.91,130.85,130.62,164.33,132.08,131.35,147.82,107.77,107.63,140.63,118.39,103.78,134.29,128.79,169.15,109.37,94.6,123.1,128.06,145.6,135.46,121.91,185.65,112.66,123.1,104.92,135.99,145.38,133.67,153.75
05-1998,129.63,133.19,129.48,135.65,94.64,170.43,96.53,100.34,103.19,119.14,129.39,124.2,85.88,142.88,144.83,127.2,132.59,137.04,135.8,144.91,117.14,106.03,108.32,149.38,134.26,131.68,131.46,164.84,132.85,132.5,148.01,109.2,108.53,141.51,119.62,105.13,135.05,130.02,171.26,110.37,95.86,124.2,128.92,145.68,136.41,122.64,187.43,113.59,124.2,105.32,137.7,146.69,135.89,154.65
06-1998,129.7,133.55,130.69,136.32,95.28,171.4,97.27,102.52,104.54,119.64,130.12,124.7,84.54,143.29,145.21,127.79,132.71,137.78,136,145.79,118.36,106.22,108.26,150.16,135.58,132.39,131.55,165.35,133.39,133.79,148.08,110.27,109.22,141.91,119.74,106.01,135.42,130.11,171.54,110.35,96.14,124.7,129.48,145.65,136.69,123.42,186.45,113.68,124.7,105.54,137.97,147.43,134.69,155.73
07-1998,129.78,133.9,131.9,136.99,95.93,172.37,98.01,104.71,105.9,120.15,130.86,125.2,83.2,143.69,145.58,128.39,132.83,138.51,136.21,146.66,119.59,106.4,108.2,150.95,136.9,133.1,131.63,165.85,133.92,135.08,148.14,111.35,109.91,142.3,119.86,106.88,135.79,130.2,171.81,110.34,96.42,125.2,130.04,145.61,136.97,124.21,185.47,113.77,125.2,105.76,138.25,148.17,133.48,156.8
08-1998,129.86,134.25,133.11,137.66,96.57,173.33,98.75,106.89,107.25,120.65,131.6,125.8,81.85,144.1,145.96,128.98,132.95,139.25,136.41,147.53,120.81,106.59,108.14,151.73,138.22,133.81,131.72,166.35,134.46,136.36,148.21,112.42,110.6,142.69,119.98,107.76,136.15,130.29,172.09,110.33,96.71,125.8,130.59,145.58,137.24,124.99,184.49,113.86,125.8,105.97,138.52,148.9,132.27,157.88
09-1998,130.09,134.78,132.89,137.91,97.03,174.11,99.04,106.92,106.68,120.88,132.13,126.1,82.21,145.13,145.47,129.33,133.68,140.46,136.98,147.83,121.01,106.93,109.67,152.09,138.73,134.13,132.35,166.34,134.79,136.44,150.35,112.68,110.27,142.87,120.22,107.95,136.42,131.28,171.85,110.65,97.06,126.1,131.08,145.03,137.51,125.26,185.57,114.19,126.1,106.72,138.94,149.06,132.77,156.59
10-1998,130.31,135.31,132.67,138.16,97.49,174.88,99.33,106.94,106.1,121.1,132.67,126.5,82.57,146.17,144.98,129.67,134.41,141.67,137.55,148.13,121.2,107.27,111.19,152.45,139.23,134.46,132.97,166.32,135.12,136.51,152.49,112.94,109.95,143.06,120.45,108.14,136.68,132.27,171.61,110.98,97.41,126.5,131.57,144.48,137.77,125.54,186.65,114.51,126.5,107.47,139.36,149.21,133.27,155.31
11-1998,130.54,135.83,132.45,138.41,97.95,175.66,99.61,106.97,105.53,121.32,133.2,126.9,82.92,147.2,144.49,130.01,135.15,142.88,138.12,148.42,121.39,107.62,112.71,152.81,139.74,134.79,133.6,166.3,135.45,136.59,154.64,113.21,109.62,143.24,120.69,108.32,136.95,133.27,171.37,111.3,97.75,126.9,132.06,143.93,138.03,125.82,187.73,114.84,126.9,108.22,139.78,149.37,133.77,154.02
12-1998,130.77,136.05,132.92,139.19,98.8,176.89,100.07,107.27,106.4,121.99,134.06,127.4,83.57,146.76,144.93,130.21,135.11,143.36,138.67,148.38,122.12,108.24,112.37,153.59,140.22,135.45,134.11,166.14,135.72,136.04,154.27,113.57,110.25,143.45,120.78,108.29,137.49,133.4,172.03,111.36,98.03,127.4,132.35,146.11,138.74,126.28,187.66,115.74,127.4,107.18,140.38,149.56,133.91,154.65
01-1999,131,136.27,133.38,139.98,99.64,178.11,100.53,107.56,107.28,122.66,134.92,127.8,84.21,146.32,145.37,130.41,135.07,143.85,139.22,148.34,122.86,108.85,112.02,154.36,140.7,136.11,134.61,165.97,135.98,135.49,153.9,113.93,110.87,143.66,120.86,108.25,138.02,133.53,172.68,111.41,98.31,127.8,132.63,148.3,139.44,126.75,187.59,116.65,127.8,106.14,140.97,149.76,134.04,155.27
02-1999,131.24,136.48,133.85,140.76,100.48,179.34,100.99,107.86,108.16,123.33,135.78,128.3,84.85,145.88,145.81,130.61,135.03,144.33,139.77,148.3,123.59,109.47,111.67,155.14,141.18,136.76,135.12,165.81,136.25,134.95,153.53,114.3,111.5,143.87,120.95,108.22,138.56,133.66,173.34,111.47,98.58,128.3,132.92,150.49,140.14,127.21,187.51,117.55,128.3,105.1,141.57,149.95,134.17,155.9
03-1999,132.17,137.14,134.43,141.64,101.65,181.67,102.27,108.78,108.68,124.06,136.58,129.4,83.93,147.6,146.97,131.69,135.64,145.12,140.54,149.26,125.76,110.23,113.22,156.67,143.65,137.68,135.93,167.35,137.18,135.7,154.46,116.71,112.76,144.02,121.19,109.78,139.55,134.35,174.72,112.34,99.06,129.4,134.25,150.75,140.54,128.42,188.75,118.03,129.4,107.3,143.04,151.7,135.08,156.52
04-1999,133.11,137.8,135.02,142.52,102.81,184.01,103.55,109.71,109.21,124.79,137.38,130.5,83,149.33,148.13,132.77,136.25,145.91,141.31,150.22,127.92,111,114.76,158.21,146.12,138.6,136.73,168.89,138.1,136.45,155.39,119.12,114.02,144.18,121.44,111.33,140.53,135.04,176.11,113.21,99.54,130.5,135.58,151.02,140.95,129.64,189.98,118.5,130.5,109.5,144.52,153.45,135.99,157.15
05-1999,134.04,138.45,135.6,143.4,103.97,186.34,104.83,110.63,109.73,125.52,138.18,131.6,82.07,151.06,149.29,133.84,136.86,146.7,142.08,151.18,130.09,111.76,116.31,159.75,148.59,139.51,137.54,170.43,139.03,137.2,156.32,121.53,115.28,144.34,121.69,112.89,141.51,135.73,177.5,114.08,100.02,131.6,136.91,151.28,141.36,130.85,191.21,118.97,131.6,111.7,145.99,155.2,136.9,157.77
06-1999,134.4,138.56,135.88,144.22,104.71,188.52,105.6,113.69,110.7,126.07,139.25,132.4,82.31,151.26,149.53,134.67,137.71,147.28,142.83,151.9,131.71,112.1,117.08,160.57,149.9,140.21,137.98,171.82,139.39,137.73,156.86,122.05,116.61,144.59,122.36,114.08,142.07,136.66,177.63,114.5,101.79,132.4,137.46,151.91,141.8,131.43,190.88,119.53,132.4,112.88,146.26,155.76,137,159.32
07-1999,134.76,138.67,136.16,145.03,105.44,190.69,106.37,116.74,111.66,126.62,140.32,133.1,82.55,151.47,149.77,135.5,138.55,147.85,143.57,152.63,133.34,112.44,117.84,161.4,151.21,140.91,138.42,173.2,139.76,138.26,157.4,122.56,117.94,144.83,123.04,115.27,142.62,137.59,177.76,114.93,103.56,133.1,138.02,152.54,142.25,132,190.54,120.08,133.1,114.06,146.54,156.32,137.1,160.86
08-1999,135.12,138.78,136.43,145.85,106.17,192.87,107.14,119.8,112.62,127.18,141.39,133.8,82.78,151.67,150.01,136.32,139.39,148.42,144.32,153.35,134.96,112.77,118.61,162.23,152.51,141.61,138.86,174.59,140.12,138.79,157.95,123.08,119.27,145.07,123.71,116.46,143.17,138.52,177.89,115.35,105.32,133.8,138.57,153.17,142.7,132.57,190.21,120.63,133.8,115.24,146.81,156.88,137.21,162.4
09-1999,133.35,139.1,136.7,146.25,106.84,193.22,107.46,118.42,112.61,127.77,141.92,134.1,83.67,152.03,150.05,136.54,138.96,147.91,144.44,152.91,135.44,113.34,119.34,162.53,152.82,141.63,138.3,173.73,140.57,137.75,157.48,123.78,119.19,145.58,123.93,116.86,143.14,138.52,177.51,115.38,105.85,134.1,138.7,152.91,143.14,133.17,190.54,121.02,134.1,114.53,147.2,157.08,136.87,161.93
10-1999,131.59,139.41,136.97,146.65,107.52,193.56,107.77,117.03,112.6,128.37,142.45,134.4,84.56,152.38,150.09,136.76,138.53,147.39,144.55,152.46,135.92,113.91,120.08,162.83,153.13,141.64,137.75,172.88,141.02,136.71,157.01,124.49,119.12,146.08,124.16,117.26,143.12,138.51,177.14,115.42,106.37,134.4,138.84,152.65,143.58,133.76,190.87,121.41,134.4,113.83,147.59,157.28,136.53,161.45
11-1999,129.83,139.72,137.23,147.05,108.19,193.91,108.08,115.65,112.6,128.96,142.97,134.7,85.45,152.74,150.13,136.98,138.11,146.87,144.67,152.02,136.4,114.48,120.81,163.13,153.43,141.66,137.19,172.02,141.46,135.67,156.54,125.2,119.04,146.59,124.38,117.66,143.09,138.5,176.77,115.45,106.9,134.7,138.97,152.4,144.02,134.36,191.21,121.8,134.7,113.12,147.98,157.48,136.19,160.98
12-1999,130.8,140.3,137.07,147.78,109.34,196.03,108.6,120,113.29,129.88,143.55,135.3,87.12,153.01,150.41,137.32,139.13,147.98,145.45,152.78,137.44,114.57,120.41,164.01,154.93,142.15,137.42,172.66,141.45,137.57,157.08,126.48,120.02,145.96,124.33,118.08,143.37,138.82,177.9,115.75,106.44,135.3,139.41,153.11,144.12,135.05,191.49,122.33,135.3,114.25,148.85,158.3,136.03,161.1
01-2000,131.76,140.88,136.92,148.52,110.48,198.16,109.12,124.35,113.99,130.79,144.13,136,88.79,153.29,150.69,137.66,140.16,149.08,146.24,153.54,138.49,114.67,120,164.89,156.43,142.64,137.65,173.31,141.43,139.48,157.63,127.77,120.99,145.32,124.27,118.5,143.65,139.14,179.03,116.04,105.98,136,139.84,153.82,144.22,135.74,191.78,122.86,136,115.37,149.71,159.12,135.86,161.23
02-2000,132.72,141.47,136.76,149.26,111.62,200.29,109.65,128.7,114.68,131.7,144.7,136.6,90.45,153.57,150.98,138.01,141.18,150.19,147.02,154.29,139.53,114.76,119.6,165.78,157.93,143.13,137.88,173.95,141.42,141.38,158.17,129.05,121.97,144.69,124.22,118.91,143.93,139.46,180.17,116.33,105.52,136.6,140.28,154.53,144.33,136.42,192.06,123.39,136.6,116.5,150.58,159.94,135.69,161.35
03-2000,134.01,141.94,138.01,150.27,113.15,202.69,111.41,128.71,115.19,132.49,145.9,137.9,90.04,154.57,151.75,139.38,141.42,150.97,147.53,155.37,142.5,116.44,122.31,167.51,160.23,144.78,139.13,175.02,142.37,140.73,159.17,131.35,123.49,145.23,125.28,120.19,145.14,140.38,180.59,117.47,108.24,137.9,141.64,156.07,145.19,137.58,192.88,124.94,137.9,117.57,151.27,161.18,137.02,163.42
04-2000,135.3,142.41,139.26,151.28,114.69,205.1,113.17,128.72,115.71,133.27,147.1,139.2,89.63,155.58,152.52,140.75,141.67,151.74,148.03,156.45,145.46,118.13,125.02,169.24,162.54,146.43,140.38,176.09,143.33,140.09,160.17,133.64,125,145.78,126.35,121.47,146.35,141.3,181.01,118.6,110.96,139.2,143.01,157.61,146.05,138.74,193.7,126.48,139.2,118.65,151.97,162.43,138.35,165.49
05-2000,136.59,142.89,140.51,152.29,116.22,207.5,114.94,128.73,116.22,134.05,148.3,140.5,89.22,156.58,153.3,142.12,141.91,152.52,148.54,157.53,148.43,119.81,127.73,170.97,164.84,148.07,141.62,177.16,144.29,139.44,161.18,135.93,126.52,146.33,127.42,122.75,147.56,142.23,181.44,119.74,113.68,140.5,144.37,159.15,146.92,139.9,194.52,128.03,140.5,119.72,152.66,163.68,139.68,167.56
06-2000,137.19,142.92,140.47,152.58,117.42,209.6,115.54,130.78,117.39,135.04,148.92,141.2,89.32,157.4,152.85,143.14,142.57,153.21,148.93,157.74,150.13,120.56,128.28,171.86,166.52,148.24,142.14,178.41,144.93,140.77,161.77,137.29,127.8,146.64,127.29,124.25,147.91,142.53,181.87,120.04,115.05,141.2,144.48,160.14,146.95,140.74,194.98,128.74,141.2,121.12,153.2,164.68,139.51,166.84
07-2000,137.8,142.95,140.44,152.86,118.63,211.69,116.14,132.82,118.56,136.04,149.55,142,89.43,158.23,152.4,144.16,143.22,153.9,149.31,157.95,151.83,121.32,128.83,172.74,168.19,148.4,142.66,179.67,145.57,142.1,162.36,138.65,129.08,146.94,127.16,125.75,148.26,142.83,182.31,120.33,116.42,142,144.59,161.13,146.97,141.58,195.44,129.45,142,122.53,153.73,165.69,139.34,166.13
08-2000,138.41,142.98,140.41,153.15,119.83,213.78,116.74,134.86,119.72,137.04,150.17,142.8,89.53,159.05,151.96,145.18,143.88,154.59,149.7,158.15,153.53,122.07,129.38,173.63,169.87,148.56,143.18,180.92,146.21,143.43,162.96,140.02,130.36,147.25,127.03,127.25,148.6,143.14,182.74,120.63,117.79,142.8,144.7,162.12,147,142.42,195.9,130.16,142.8,123.93,154.27,166.69,139.17,165.41
09-2000,137.52,142.98,140.65,154.1,121.18,214.7,117.14,133.93,120.34,138.04,150.86,143.2,90.57,158.58,152.99,145.36,143.37,154.41,149.99,157.66,154.69,122.22,130.23,173.53,170.52,149.32,142.71,180.19,146.26,141.36,162.69,142.26,131.19,146.41,127.69,128.01,148.61,143.63,183.17,120.84,118.71,143.2,144.75,160.86,147.09,142.73,195.28,130.41,143.2,124.64,154.39,166.67,138.33,167.21
10-2000,136.62,142.99,140.9,155.05,122.52,215.62,117.54,133.01,120.96,139.04,151.55,143.7,91.6,158.11,154.03,145.53,142.87,154.24,150.29,157.17,155.85,122.36,131.08,173.44,171.18,150.08,142.25,179.45,146.31,139.29,162.42,144.5,132.03,145.57,128.35,128.76,148.61,144.12,183.6,121.06,119.63,143.7,144.8,159.61,147.17,143.04,194.67,130.66,143.7,125.34,154.51,166.66,137.5,169.01
11-2000,135.73,142.99,141.14,156.01,123.87,216.54,117.94,132.08,121.58,140.04,152.24,144.1,92.64,157.63,155.06,145.7,142.37,154.06,150.58,156.68,157.01,122.5,131.92,173.34,171.83,150.84,141.78,178.71,146.36,137.22,162.16,146.74,132.86,144.73,129.01,129.52,148.62,144.61,184.02,121.28,120.55,144.1,144.84,158.35,147.26,143.36,194.05,130.91,144.1,126.04,154.63,166.64,136.66,170.8
12-2000,136.97,143.47,141.71,156.58,125.21,219.11,118.47,135.11,122.5,141.15,152.69,144.8,93.68,158.2,155.25,146.38,142.98,154.45,150.6,157.47,158.51,123.36,133.03,174.05,173.21,150.85,141.89,181.42,146.89,139.71,162.11,146.89,133.78,146.1,129.77,129.82,148.81,144.56,184.83,121.73,120.69,144.8,145.51,159.37,147.65,143.83,194.9,132.14,144.8,125.63,155.68,167.22,138.11,169.59
01-2001,138.2,143.95,142.28,157.16,126.56,221.67,119,138.14,123.42,142.26,153.14,145.6,94.72,158.76,155.44,147.05,143.58,154.84,150.63,158.26,160.01,124.22,134.14,174.76,174.58,150.85,141.99,184.13,147.43,142.2,162.05,147.03,134.71,147.47,130.52,130.13,148.99,144.52,185.63,122.18,120.83,145.6,146.18,160.39,148.04,144.3,195.76,133.37,145.6,125.21,156.73,167.79,139.55,168.38
02-2001,139.44,144.43,142.86,157.73,127.9,224.24,119.54,141.16,124.34,143.37,153.59,146.3,95.76,159.33,155.64,147.72,144.19,155.23,150.66,159.05,161.51,125.08,135.24,175.46,175.96,150.86,142.1,186.84,147.97,144.69,162,147.18,135.63,148.84,131.28,130.43,149.18,144.48,186.43,122.64,120.97,146.3,146.85,161.42,148.43,144.77,196.62,134.6,146.3,124.8,157.78,168.37,141,167.17
03-2001,141.25,145.17,143.17,159.02,129.54,225.97,121.31,143.22,124.93,144.74,154.6,147.6,96.74,160.35,156.8,149.23,144.74,156.76,151.71,159.84,164.33,127.01,136.67,176.73,178.68,152.73,142.96,187.09,148.42,144.46,163.35,150.11,137.15,149.39,132.52,132.06,150.53,145.7,187.77,124.03,123.45,147.6,147.46,162.66,148.88,145.84,197.42,136.19,147.6,128.02,158.59,169.88,140.32,169.26
04-2001,143.07,145.91,143.48,160.32,131.18,227.7,123.08,145.28,125.52,146.11,155.61,148.9,97.73,161.36,157.96,150.75,145.29,158.28,152.77,160.62,167.15,128.95,138.09,178.01,181.4,154.61,143.81,187.33,148.87,144.22,164.7,153.04,138.67,149.95,133.75,133.69,151.88,146.92,189.1,125.42,125.93,148.9,148.07,163.9,149.33,146.9,198.23,137.79,148.9,131.24,159.4,171.38,139.64,171.35
05-2001,144.88,146.65,143.79,161.61,132.82,229.43,124.85,147.34,126.11,147.48,156.62,150.3,98.72,162.38,159.13,152.26,145.84,159.8,153.82,161.41,169.96,130.88,139.52,179.28,184.12,156.49,144.67,187.57,149.33,143.99,166.05,155.97,140.2,150.5,134.99,135.32,153.23,148.15,190.43,126.82,128.41,150.3,148.69,165.14,149.79,147.97,199.04,139.39,150.3,134.46,160.21,172.89,138.96,173.45
06-2001,145.52,146.83,144.58,161.97,133.74,229.99,126.43,150.89,126.99,149,157.21,151.1,99.02,162.74,159.55,153.2,145.99,160.09,154.09,162.14,172.14,132.1,141.61,180.28,185.99,157.06,145.26,187.51,149.67,143.93,166.68,157.98,142.51,150.96,135.66,136.98,153.34,148.54,191.31,127.56,130.35,151.1,149.16,165.93,149.86,148.35,198.58,140.48,151.1,134.62,160.99,173.77,139.93,174.44
07-2001,146.15,147,145.36,162.33,134.67,230.56,128.01,154.44,127.87,150.53,157.79,151.9,99.33,163.1,159.96,154.14,146.14,160.39,154.37,162.88,174.32,133.32,143.7,181.29,187.86,157.63,145.85,187.45,150.01,143.87,167.3,159.99,144.82,151.43,136.32,138.64,153.45,148.94,192.18,128.31,132.3,151.9,149.63,166.72,149.93,148.74,198.12,141.56,151.9,134.79,161.78,174.65,140.91,175.43
08-2001,146.78,147.18,146.14,162.69,135.59,231.12,129.59,157.99,128.75,152.05,158.38,152.8,99.63,163.46,160.38,155.08,146.3,160.68,154.64,163.61,176.5,134.54,145.79,182.29,189.72,158.2,146.44,187.39,150.36,143.81,167.93,162,147.13,151.89,136.98,140.29,153.56,149.33,193.06,129.05,134.24,152.8,150.1,167.52,150.01,149.12,197.65,142.65,152.8,134.96,162.56,175.53,141.88,176.42
09-2001,147.11,147.29,146.08,163.94,136.36,230.69,129.85,158.23,129.84,153.24,158.7,153.1,100.29,163.76,159.68,155.21,146.76,161.25,155.19,164.19,176.99,135.4,145.6,182.07,189.57,158.45,146.47,188.76,150.14,145.4,167.24,162.58,147.76,151.54,137.58,141.16,153.63,149.39,193.01,129.22,135.73,153.1,149.79,167.81,150.66,149.08,197.78,142.78,153.1,135.43,162.38,175.87,141.62,177.68
10-2001,147.44,147.4,146.02,165.2,137.12,230.25,130.11,158.47,130.93,154.43,159.02,153.5,100.94,164.07,158.98,155.34,147.23,161.82,155.73,164.76,177.48,136.25,145.4,181.84,189.41,158.7,146.5,190.13,149.93,146.99,166.56,163.16,148.39,151.18,138.17,142.03,153.7,149.44,192.95,129.4,137.21,153.5,149.49,168.11,151.32,149.04,197.9,142.91,153.5,135.9,162.2,176.21,141.36,178.95
11-2001,147.78,147.5,145.96,166.45,137.88,229.81,130.36,158.72,132.02,155.63,159.33,153.8,101.6,164.37,158.28,155.47,147.69,162.39,156.28,165.34,177.97,137.1,145.21,181.62,189.25,158.96,146.52,191.5,149.71,148.59,165.88,163.74,149.02,150.83,138.76,142.89,153.77,149.5,192.9,129.57,138.7,153.8,149.18,168.4,151.97,148.99,198.03,143.04,153.8,136.38,162.01,176.55,141.1,180.21
12-2001,147.88,147.93,146.29,166.45,139.27,231.35,130.61,161.37,132.39,156.77,160.09,154.5,101.54,164.17,158.6,156.03,147.7,162.22,155.96,164.81,178.92,137.95,146.91,182.06,190.44,159.22,146.81,192.32,150.36,147.94,166.73,164.08,149.93,151.32,139.52,143.66,154.17,149.83,193.69,130.16,139.95,154.5,150.4,167.73,152.15,149.18,198.46,143.99,154.5,137.25,163.11,176.66,142.4,181.17
01-2002,147.99,148.35,146.62,166.45,140.65,232.89,130.86,164.02,132.77,157.91,160.85,155.1,101.49,163.96,158.92,156.59,147.72,162.04,155.63,164.29,179.86,138.8,148.61,182.51,191.63,159.48,147.1,193.14,151,147.3,167.59,164.41,150.84,151.81,140.28,144.44,154.58,150.17,194.49,130.74,141.19,155.1,151.62,167.07,152.32,149.38,198.9,144.94,155.1,138.13,164.21,176.76,143.71,182.14
02-2002,148.09,148.78,146.95,166.45,142.04,234.44,131.11,166.68,133.14,159.05,161.6,155.7,101.44,163.76,159.23,157.15,147.73,161.87,155.31,163.76,180.81,139.64,150.31,182.95,192.82,159.75,147.38,193.96,151.65,146.65,168.45,164.74,151.75,152.3,141.04,145.21,154.99,150.5,195.29,131.33,142.44,155.7,152.84,166.4,152.5,149.57,199.33,145.89,155.7,139.01,165.31,176.87,145.01,183.1
03-2002,149.72,149.45,148.15,167.84,144.66,235.3,133.73,171.02,134.75,160.94,161.84,157.3,103.85,165.18,160.65,158.86,148.31,163.19,156.73,165.42,184.36,142.16,152.37,184.35,195.63,161.07,147.15,195.01,152.18,148.19,169.22,168.04,154.76,154.08,141.88,147.09,155.94,151.34,196.97,132.88,145.49,157.3,152.89,169.03,152.89,150.78,199.79,148.1,157.3,140.23,166.54,178.44,145.8,185.17
04-2002,151.35,150.12,149.35,169.22,147.29,236.17,136.35,175.36,136.35,162.83,162.08,158.9,106.25,166.6,162.07,160.57,148.9,164.52,158.15,167.08,187.91,144.67,154.44,185.76,198.44,162.39,146.93,196.06,152.7,149.73,170,171.34,157.76,155.87,142.72,148.98,156.9,152.18,198.65,134.43,148.54,158.9,152.94,171.66,153.29,152,200.26,150.31,158.9,141.45,167.76,180.01,146.6,187.25
05-2002,152.97,150.79,150.55,170.61,149.92,237.03,138.97,179.71,137.96,164.72,162.32,160.4,108.66,168.01,163.48,162.28,149.48,165.84,159.57,168.75,191.46,147.19,156.51,187.17,201.25,163.71,146.7,197.11,153.23,151.27,170.78,174.65,160.76,157.66,143.55,150.86,157.86,153.03,200.33,135.98,151.59,160.4,152.99,174.29,153.69,153.21,200.72,152.51,160.4,142.67,168.99,181.57,147.4,189.33
06-2002,154.83,151.07,150.85,171.36,152.49,238.04,140.46,181.66,139.86,166.25,163.18,161.6,109.81,168.64,164.17,163.24,149.91,166.18,159.37,169.34,194.53,149.35,158.49,187.65,203.1,164.34,147.94,199.18,153.79,152.53,171.79,177.48,163.28,158.01,145.13,153.1,158.31,153.28,201.63,137.02,154.84,161.6,153.53,173.56,154.48,153.35,200.77,153.51,161.6,144.56,169.16,183.22,147.19,189.92
07-2002,156.7,151.35,151.16,172.12,155.05,239.04,141.95,183.62,141.76,167.79,164.04,162.7,110.96,169.27,164.86,164.21,150.34,166.52,159.16,169.94,197.59,151.51,160.48,188.14,204.96,164.97,149.18,201.24,154.36,153.79,172.81,180.31,165.79,158.37,146.71,155.35,158.77,153.54,202.93,138.06,158.09,162.7,154.07,172.82,155.27,153.49,200.82,154.51,162.7,146.44,169.33,184.86,146.97,190.51
08-2002,158.56,151.63,151.47,172.87,157.62,240.04,143.44,185.57,143.66,169.33,164.9,163.9,112.11,169.89,165.55,165.17,150.76,166.86,158.96,170.53,200.66,153.68,162.47,188.63,206.81,165.6,150.42,203.31,154.92,155.05,173.82,183.14,168.3,158.73,148.28,157.59,159.22,153.79,204.23,139.1,161.34,163.9,154.61,172.09,156.06,153.63,200.87,155.51,163.9,148.33,169.49,186.51,146.76,191.1
